No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
1,Michael Phelps,United States,Swimming,2004–2016,Summer,M,23.0,3.0,2.0,28.0
2,Larisa Latynina,Soviet Union,Gymnastics,1956–1964,Summer,F,9.0,5.0,4.0,18.0
3,Marit Bjørgen,Norway,Cross-country skiing,2002–2018,Winter,F,8.0,4.0,3.0,15.0
4,Nikolai Andrianov,Soviet Union,Gymnastics,1972–1980,Summer,M,7.0,5.0,3.0,15.0
5,Ole Einar Bjørndalen,Norway,Biathlon,1998–2014,Winter,M,8.0,4.0,1.0,13.0
6,Boris Shakhlin,Soviet Union,Gymnastics,1956–1964,Summer,M,7.0,4.0,2.0,13.0
7,Edoardo Mangiarotti,Italy,Fencing,1936–1960,Summer,M,6.0,5.0,2.0,13.0
7,Ireen Wüst,Netherlands,Speed skating,2006–2022,Winter,F,6.0,5.0,2.0,13.0
9,Takashi Ono,Japan,Gymnastics,1952–1964,Summer,M,5.0,4.0,4.0,13.0
10,Paavo Nurmi,Finland,Athletics,1920–1928,Summer,M,9.0,3.0,0.0,12.0
11,Birgit Fischer,East Germany  Germany,Canoeing,1980–2004,Summer,F,8.0,4.0,0.0,12.0
11,Bjørn Dæhlie,Norway,Cross-country skiing,1992–1998,Winter,M,8.0,4.0,0.0,12.0
13,Sawao Katō,Japan,Gymnastics,1968–1976,Summer,M,8.0,3.0,1.0,12.0
13,Jenny Thompson,United States,Swimming,1992–2004,Summer,F,8.0,3.0,1.0,12.0
15,Isabell Werth,Germany,Equestrian,1992–2020,Summer,F,7.0,5.0,0.0,12.0
16,Ryan Lochte,United States,Swimming,2004–2016,Summer,M,6.0,3.0,3.0,12.0
17,Dara Torres,United States,Swimming,1984–2008,Summer,F,4.0,4.0,4.0,12.0
18,Alexei Nemov,Russia,Gymnastics,1996–2000,Summer,M,4.0,2.0,6.0,12.0
19,Natalie Coughlin,United States,Swimming,2004–2012,Summer,F,3.0,4.0,5.0,12.0
20,Mark Spitz,United States,Swimming,1968–1972,Summer,M,9.0,1.0,1.0,11.0
21,Matt Biondi,United States,Swimming,1984–1992,Summer,M,8.0,2.0,1.0,11.0
22,Věra Čáslavská,Czechoslovakia,Gymnastics,1960–1968,Summer,F,7.0,4.0,0.0,11.0
23,Viktor Chukarin,Soviet Union,Gymnastics,1952–1956,Summer,M,7.0,3.0,1.0,11.0
23,Allyson Felix,United States,Athletics,2004–2020,Summer,F,7.0,3.0,1.0,11.0
25,Carl Osburn,United States,Shooting,1912–1924,Summer,M,5.0,4.0,2.0,11.0
26,Emma McKeon,Australia,Swimming,2016–2020,Summer,F,5.0,2.0,4.0,11.0
27,Arianna Fontana,Italy,Short track speed skating,2006–2022,Winter,F,2.0,4.0,5.0,11.0
28,Carl Lewis,United States,Athletics,1984–1996,Summer,M,9.0,1.0,0.0,10.0
29,Katie Ledecky,United States,Swimming,2012–2020,Summer,F,7.0,3.0,0.0,10.0
30,Aladár Gerevich,Hungary,Fencing,1932–1960,Summer,M,7.0,1.0,2.0,10.0
31,Akinori Nakayama,Japan,Gymnastics,1968–1972,Summer,M,6.0,2.0,2.0,10.0
32,Vitaly Scherbo,Unified Team  Belarus,Gymnastics,1992–1996,Summer,M,6.0,0.0,4.0,10.0
33,Ágnes Keleti,Hungary,Gymnastics,1952–1956,Summer,F,5.0,3.0,2.0,10.0
33,Gary Hall Jr.,United States,Swimming,1996–2004,Summer,M,5.0,3.0,2.0,10.0
35,Polina Astakhova,Soviet Union,Gymnastics,1956–1964,Summer,F,5.0,2.0,3.0,10.0
36,Raisa Smetanina,Soviet Union  Unified Team,Cross-country skiing,1976–1992,Winter,F,4.0,5.0,1.0,10.0
37,Allison Schmitt,United States,Swimming,2008–2020,Summer,F,4.0,3.0,3.0,10.0
38,Alexander Dityatin,Soviet Union,Gymnastics,1976–1980,Summer,M,3.0,6.0,1.0,10.0
39,Stefania Belmondo,Italy,Cross-country skiing,1992–2002,Winter,F,2.0,3.0,5.0,10.0
40,Franziska van Almsick,Germany,Swimming,1992–2004,Summer,F,0.0,4.0,6.0,10.0
41,Jason Kenny,Great Britain,Cycling,2008–2020,Summer,M,7.0,2.0,0.0,9.0
42,Hubert Van Innis,Belgium,Archery,1900–1920,Summer,M,6.0,3.0,0.0,9.0
42,Lyubov Yegorova,Unified Team  Russia,Cross-country skiing,1992–1994,Winter,F,6.0,3.0,0.0,9.0
