Athlete,Nation,Sport,First Medal Year,Last Medal Year,Games,Gender,Gold,Silver,Bronze,Total
Michael Phelps,United States,Swimming,2004,2016,Summer,M,23.0,3.0,2.0,28.0
Larisa Latynina,Soviet Union,Gymnastics,1956,1964,Summer,F,9.0,5.0,4.0,18.0
Marit Bjørgen,Norway,Cross-country skiing,2002,2018,Winter,F,8.0,4.0,3.0,15.0
Nikolai Andrianov,Soviet Union,Gymnastics,1972,1980,Summer,M,7.0,5.0,3.0,15.0
Ole Einar Bjørndalen,Norway,Biathlon,1998,2014,Winter,M,8.0,4.0,1.0,13.0
Boris Shakhlin,Soviet Union,Gymnastics,1956,1964,Summer,M,7.0,4.0,2.0,13.0
Edoardo Mangiarotti,Italy,Fencing,1936,1960,Summer,M,6.0,5.0,2.0,13.0
Ireen Wüst,Netherlands,Speed skating,2006,2022,Winter,F,6.0,5.0,2.0,13.0
Takashi Ono,Japan,Gymnastics,1952,1964,Summer,M,5.0,4.0,4.0,13.0
Paavo Nurmi,Finland,Athletics,1920,1928,Summer,M,9.0,3.0,0.0,12.0
Birgit Fischer,East Germany  Germany,Canoeing,1980,2004,Summer,F,8.0,4.0,0.0,12.0
Bjørn Dæhlie,Norway,Cross-country skiing,1992,1998,Winter,M,8.0,4.0,0.0,12.0
Sawao Katō,Japan,Gymnastics,1968,1976,Summer,M,8.0,3.0,1.0,12.0
Jenny Thompson,United States,Swimming,1992,2004,Summer,F,8.0,3.0,1.0,12.0
Isabell Werth,Germany,Equestrian,1992,2020,Summer,F,7.0,5.0,0.0,12.0
Ryan Lochte,United States,Swimming,2004,2016,Summer,M,6.0,3.0,3.0,12.0
Dara Torres,United States,Swimming,1984,2008,Summer,F,4.0,4.0,4.0,12.0
Alexei Nemov,Russia,Gymnastics,1996,2000,Summer,M,4.0,2.0,6.0,12.0
Natalie Coughlin,United States,Swimming,2004,2012,Summer,F,3.0,4.0,5.0,12.0
Mark Spitz,United States,Swimming,1968,1972,Summer,M,9.0,1.0,1.0,11.0
Matt Biondi,United States,Swimming,1984,1992,Summer,M,8.0,2.0,1.0,11.0
Věra Čáslavská,Czechoslovakia,Gymnastics,1960,1968,Summer,F,7.0,4.0,0.0,11.0
Viktor Chukarin,Soviet Union,Gymnastics,1952,1956,Summer,M,7.0,3.0,1.0,11.0
Allyson Felix,United States,Athletics,2004,2020,Summer,F,7.0,3.0,1.0,11.0
Carl Osburn,United States,Shooting,1912,1924,Summer,M,5.0,4.0,2.0,11.0
Emma McKeon,Australia,Swimming,2016,2020,Summer,F,5.0,2.0,4.0,11.0
Arianna Fontana,Italy,Short track speed skating,2006,2022,Winter,F,2.0,4.0,5.0,11.0
Carl Lewis,United States,Athletics,1984,1996,Summer,M,9.0,1.0,0.0,10.0
Katie Ledecky,United States,Swimming,2012,2020,Summer,F,7.0,3.0,0.0,10.0
Aladár Gerevich,Hungary,Fencing,1932,1960,Summer,M,7.0,1.0,2.0,10.0
Akinori Nakayama,Japan,Gymnastics,1968,1972,Summer,M,6.0,2.0,2.0,10.0
Vitaly Scherbo,Unified Team  Belarus,Gymnastics,1992,1996,Summer,M,6.0,0.0,4.0,10.0
Ágnes Keleti,Hungary,Gymnastics,1952,1956,Summer,F,5.0,3.0,2.0,10.0
Gary Hall Jr.,United States,Swimming,1996,2004,Summer,M,5.0,3.0,2.0,10.0
Polina Astakhova,Soviet Union,Gymnastics,1956,1964,Summer,F,5.0,2.0,3.0,10.0
Raisa Smetanina,Soviet Union  Unified Team,Cross-country skiing,1976,1992,Winter,F,4.0,5.0,1.0,10.0
Allison Schmitt,United States,Swimming,2008,2020,Summer,F,4.0,3.0,3.0,10.0
Alexander Dityatin,Soviet Union,Gymnastics,1976,1980,Summer,M,3.0,6.0,1.0,10.0
Stefania Belmondo,Italy,Cross-country skiing,1992,2002,Winter,F,2.0,3.0,5.0,10.0
Franziska van Almsick,Germany,Swimming,1992,2004,Summer,F,0.0,4.0,6.0,10.0
Jason Kenny,Great Britain,Cycling,2008,2020,Summer,M,7.0,2.0,0.0,9.0
Hubert Van Innis,Belgium,Archery,1900,1920,Summer,M,6.0,3.0,0.0,9.0
Lyubov Yegorova,Unified Team  Russia,Cross-country skiing,1992,1994,Winter,F,6.0,3.0,0.0,9.0
Valentina Vezzali,Italy,Fencing,1996,2012,Summer,F,6.0,1.0,2.0,9.0
Nadia Comăneci,Romania,Gymnastics,1976,1980,Summer,F,5.0,3.0,1.0,9.0
Ian Thorpe,Australia,Swimming,2000,2004,Summer,M,5.0,3.0,1.0,9.0
Claudia Pechstein,Germany,Speed skating,1992,2006,Winter,F,5.0,2.0,2.0,9.0
Mitsuo Tsukahara,Japan,Gymnastics,1968,1976,Summer,M,5.0,1.0,3.0,9.0
Alexander Popov,Unified Team  Russia,Swimming,1992,2000,Summer,M,4.0,5.0,0.0,9.0
Sixten Jernberg,Sweden,Cross-country skiing,1956,1964,Winter,M,4.0,3.0,2.0,9.0
Ludmilla Tourischeva,Soviet Union,Gymnastics,1968,1976,Summer,F,4.0,3.0,2.0,9.0
Sven Kramer,Netherlands,Speed skating,2006,2018,Winter,M,4.0,2.0,3.0,9.0
Charlotte Kalla,Sweden,Cross-country skiing,2010,2018,Winter,F,3.0,6.0,0.0,9.0
Anky van Grunsven,Netherlands,Equestrian,1992,2012,Summer,F,3.0,5.0,1.0,9.0
Leisel Jones,Australia,Swimming,2000,2012,Summer,F,3.0,5.0,1.0,9.0
Giulio Gaudini,Italy,Fencing,1928,1936,Summer,M,3.0,4.0,2.0,9.0
Alexander Bolshunov,Olympic Athletes from Russia  ROC,Cross-country skiing,2018,2022,Winter,M,3.0,4.0,2.0,9.0
Alfred Swahn,Sweden,Shooting,1908,1924,Summer,M,3.0,3.0,3.0,9.0
Eizo Kenmotsu,Japan,Gymnastics,1968,1976,Summer,M,3.0,3.0,3.0,9.0
Mikhail Voronin,Soviet Union,Gymnastics,1968,1972,Summer,M,2.0,6.0,1.0,9.0
Uschi Disl,Germany,Biathlon,1992,2006,Winter,F,2.0,4.0,3.0,9.0
Heikki Savolainen,Finland,Gymnastics,1928,1952,Summer,M,2.0,1.0,6.0,9.0
Yuri Titov,Soviet Union,Gymnastics,1956,1964,Summer,M,1.0,5.0,3.0,9.0
Merlene Ottey,Jamaica,Athletics,1980,2000,Summer,F,0.0,3.0,6.0,9.0
Ray Ewry,United States,Athletics,1900,1908,Summer,M,8.0,0.0,0.0,8.0
Usain Bolt,Jamaica,Athletics,2008,2016,Summer,M,8.0,0.0,0.0,8.0
Gert Fredriksson,Sweden,Canoeing,1948,1960,Summer,M,6.0,1.0,1.0,8.0
Danuta Kozák,Hungary,Canoeing,2008,2020,Summer,F,6.0,1.0,1.0,8.0
Reiner Klimke,United Team of Germany  West Germany,Equestrian,1964,1988,Summer,M,6.0,0.0,2.0,8.0
Ahn Hyun-Soo Viktor Ahn,South Korea  Russia,Short track speed skating,2006,2014,Winter,M,6.0,0.0,2.0,8.0
Ville Ritola,Finland,Athletics,1924,1928,Summer,M,5.0,3.0,0.0,8.0
Elisabeta Lipă,Romania,Rowing,1984,2004,Summer,F,5.0,2.0,1.0,8.0
Johannes Thingnes Bø,Norway,Biathlon,2018,2022,Winter,M,5.0,2.0,1.0,8.0
Bradley Wiggins,Great Britain,Cycling,2000,2016,Summer,M,5.0,1.0,2.0,8.0
Nathan Adrian,United States,Swimming,2008,2016,Summer,M,5.0,1.0,2.0,8.0
Dawn Fraser,Australia,Swimming,1956,1964,Summer,F,4.0,4.0,0.0,8.0
Kornelia Ender,East Germany,Swimming,1972,1976,Summer,F,4.0,4.0,0.0,8.0
Otto Olsen,Norway,Shooting,1920,1924,Summer,M,4.0,3.0,1.0,8.0
Georges Miez,Switzerland,Gymnastics,1924,1936,Summer,M,4.0,3.0,1.0,8.0
Ricco Groß,Germany,Biathlon,1992,2006,Winter,M,4.0,3.0,1.0,8.0
Emil Hegle Svendsen,Norway,Biathlon,2010,2018,Winter,M,4.0,3.0,1.0,8.0
Roland Matthes,East Germany,Swimming,1968,1976,Summer,M,4.0,2.0,2.0,8.0
